epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,691.13,1.07026,1.24134,1.23833,0.92079,0.8349,0.87129,0.66803,0.85567,0.49287,1.05489,0.00332992,0.00332992,0.00332992
2,1367.09,0.93138,0.65963,1.10487,0.93261,0.85769,0.86448,0.67539,0.79034,0.4869,1.04046,0.00653132,0.00653132,0.00653132
3,2038.76,0.95516,0.67425,1.11591,0.86252,0.85762,0.85945,0.66069,0.8401,0.49401,1.06076,0.00960072,0.00960072,0.00960072
4,2708.48,0.9585,0.67742,1.11765,0.94145,0.85057,0.86478,0.67206,0.80373,0.47009,1.03858,0.009406,0.009406,0.009406
5,3378.43,0.91773,0.62483,1.09296,0.86058,0.86489,0.86478,0.677,0.79243,0.45235,1.03533,0.009208,0.009208,0.009208
6,4048.36,0.89179,0.59065,1.07751,0.93059,0.87035,0.86689,0.69141,0.75867,0.43012,1.01903,0.00901,0.00901,0.00901
7,4718.51,0.87194,0.56991,1.06901,0.86615,0.87159,0.87203,0.69669,0.75061,0.42624,1.00946,0.008812,0.008812,0.008812
8,5388.42,0.84697,0.54787,1.05736,0.9289,0.86743,0.87173,0.69836,0.75939,0.4145,1.01182,0.008614,0.008614,0.008614
9,6058.03,0.83244,0.53077,1.0487,0.94539,0.87495,0.9159,0.73224,0.7442,0.40111,1.00769,0.008416,0.008416,0.008416
10,6727.96,0.82217,0.52046,1.04393,0.9406,0.92133,0.92899,0.75004,0.7266,0.40341,0.99906,0.008218,0.008218,0.008218
11,7397.93,0.81185,0.51158,1.03787,0.93293,0.92541,0.93138,0.75659,0.72796,0.38643,0.99596,0.00802,0.00802,0.00802
12,8067.89,0.80151,0.49447,1.0297,0.93852,0.92611,0.93511,0.7497,0.72213,0.38333,0.992,0.007822,0.007822,0.007822
13,8737.45,0.7917,0.48768,1.02414,0.93332,0.9258,0.93117,0.76183,0.71672,0.37865,0.98575,0.007624,0.007624,0.007624
14,9407.37,0.78539,0.48229,1.0226,0.94421,0.92397,0.93617,0.75861,0.72605,0.38028,0.99026,0.007426,0.007426,0.007426
15,10077.2,0.77667,0.47515,1.01875,0.9438,0.92561,0.93842,0.76715,0.70325,0.36993,0.98018,0.007228,0.007228,0.007228
16,10747.1,0.77238,0.46542,1.01586,0.93491,0.92606,0.93667,0.76189,0.70697,0.37048,0.98404,0.00703,0.00703,0.00703
17,11416.6,0.76538,0.45988,1.01474,0.942,0.92541,0.94312,0.77264,0.69809,0.36804,0.97805,0.006832,0.006832,0.006832
18,12086.5,0.75901,0.45537,1.00987,0.93619,0.92063,0.94252,0.77063,0.69514,0.35851,0.97406,0.006634,0.006634,0.006634
