epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,12757.4,0.75282,0.44911,1.00503,0.94311,0.92306,0.94416,0.76933,0.69961,0.35654,0.97659,0.006436,0.006436,0.006436
20,13426.4,0.74726,0.4421,1.00569,0.93245,0.92892,0.93426,0.76622,0.69012,0.35518,0.97311,0.006238,0.006238,0.006238
21,14096.3,0.74417,0.43955,1.00137,0.94587,0.92152,0.94576,0.77125,0.68946,0.35509,0.9737,0.00604,0.00604,0.00604
22,14766,0.73949,0.43703,0.99891,0.93993,0.92377,0.94259,0.77734,0.6884,0.34309,0.97381,0.005842,0.005842,0.005842
23,15435.9,0.73097,0.42781,0.99777,0.93957,0.92581,0.94099,0.77707,0.68184,0.33937,0.96925,0.005644,0.005644,0.005644
24,16105.5,0.72699,0.42639,0.9953,0.94973,0.92102,0.94543,0.77875,0.68562,0.34128,0.97072,0.005446,0.005446,0.005446
25,16775.4,0.72268,0.42022,0.99122,0.93597,0.93093,0.94016,0.77688,0.6828,0.33705,0.96812,0.005248,0.005248,0.005248
26,17444.9,0.72007,0.41428,0.98982,0.93757,0.92889,0.94282,0.78202,0.67499,0.33523,0.96292,0.00505,0.00505,0.00505
27,18114.2,0.71528,0.4119,0.98554,0.94279,0.92427,0.94223,0.77604,0.67205,0.33858,0.96165,0.004852,0.004852,0.004852
28,18783.9,0.70938,0.40327,0.98605,0.94351,0.92384,0.94467,0.78375,0.67298,0.33113,0.96209,0.004654,0.004654,0.004654
29,19453.8,0.70928,0.40629,0.98692,0.94403,0.9269,0.94428,0.7822,0.67459,0.32851,0.96275,0.004456,0.004456,0.004456
30,20123.5,0.70332,0.39883,0.98267,0.93897,0.93128,0.94263,0.78264,0.67047,0.32797,0.96106,0.004258,0.004258,0.004258
31,20793.2,0.69751,0.39639,0.97948,0.94772,0.92007,0.94448,0.78381,0.66484,0.32709,0.95903,0.00406,0.00406,0.00406
32,21463.3,0.69608,0.39122,0.98053,0.94483,0.92763,0.9442,0.78364,0.66496,0.3229,0.95851,0.003862,0.003862,0.003862
33,22133,0.68898,0.38604,0.97599,0.94562,0.92138,0.94379,0.78651,0.66368,0.32157,0.95807,0.003664,0.003664,0.003664
34,22802.7,0.68803,0.3855,0.97583,0.93786,0.9313,0.94467,0.7888,0.66366,0.32202,0.95735,0.003466,0.003466,0.003466
35,23472.6,0.68222,0.38115,0.97489,0.93683,0.93232,0.9457,0.79006,0.66334,0.32174,0.95713,0.003268,0.003268,0.003268
36,24142.6,0.67679,0.37781,0.96931,0.94794,0.92263,0.94694,0.79186,0.65758,0.31635,0.95446,0.00307,0.00307,0.00307
37,24812.3,0.67619,0.37406,0.97143,0.94301,0.92782,0.94538,0.79145,0.65904,0.3175,0.95436,0.002872,0.002872,0.002872
38,25482,0.67034,0.37123,0.97083,0.94556,0.92652,0.94696,0.79345,0.6578,0.31531,0.95383,0.002674,0.002674,0.002674
39,26151.6,0.66655,0.36488,0.9643,0.94462,0.92635,0.94609,0.79226,0.65332,0.31623,0.95214,0.002476,0.002476,0.002476
40,26820.8,0.6616,0.3589,0.9645,0.94662,0.92608,0.9465,0.79514,0.65249,0.31181,0.95114,0.002278,0.002278,0.002278
41,27521.5,0.65846,0.31427,0.98807,0.94161,0.93192,0.94679,0.79865,0.64981,0.31299,0.9501,0.00208,0.00208,0.00208
42,28188.7,0.65125,0.31199,0.98241,0.93924,0.93195,0.94672,0.79949,0.64679,0.31361,0.94841,0.001882,0.001882,0.001882
43,28856.4,0.64513,0.30652,0.9837,0.94461,0.92693,0.94746,0.80104,0.64451,0.31438,0.94738,0.001684,0.001684,0.001684
44,29524,0.63849,0.30179,0.97811,0.94958,0.92244,0.94597,0.798,0.64498,0.31473,0.94774,0.001486,0.001486,0.001486
45,30192.8,0.63368,0.29768,0.97542,0.93908,0.93021,0.94707,0.7992,0.64381,0.31104,0.94747,0.001288,0.001288,0.001288
46,30864.7,0.62883,0.29365,0.97147,0.93873,0.93239,0.94821,0.80129,0.64326,0.30962,0.94694,0.00109,0.00109,0.00109
47,31534.1,0.62242,0.28957,0.96782,0.93758,0.93513,0.94838,0.80117,0.64248,0.3071,0.94636,0.000892,0.000892,0.000892
48,32208.4,0.61601,0.28624,0.96401,0.93871,0.93012,0.94783,0.80171,0.64117,0.30665,0.94582,0.000694,0.000694,0.000694
49,32877.9,0.61223,0.28117,0.96188,0.94271,0.92735,0.94882,0.80383,0.64169,0.30714,0.94613,0.000496,0.000496,0.000496
50,33545.2,0.60658,0.27808,0.95885,0.94381,0.927,0.94895,0.80342,0.64136,0.3074,0.9461,0.000298,0.000298,0.000298
