epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1565.27,1.0643,1.23663,1.24123,0.9222,0.84475,0.88445,0.68005,0.85114,0.48356,1.05254,0.00332992,0.00332992,0.00332992
2,5730.57,0.91505,0.64241,1.10024,0.90807,0.8467,0.85687,0.66604,0.8283,0.51105,1.04629,0.00653132,0.00653132,0.00653132
3,9065.29,0.94521,0.65737,1.11346,0.85977,0.84617,0.85554,0.65737,0.83094,0.49242,1.05779,0.00960072,0.00960072,0.00960072
4,14916.5,0.94786,0.66251,1.11609,0.92898,0.85974,0.86681,0.67547,0.79177,0.46539,1.0328,0.009406,0.009406,0.009406
5,19266,0.91004,0.61395,1.091,0.933,0.86928,0.90446,0.72119,0.77528,0.44579,1.02777,0.009208,0.009208,0.009208
6,23974,0.88777,0.58054,1.07739,0.9399,0.86828,0.91153,0.72401,0.76335,0.42974,1.02145,0.00901,0.00901,0.00901
7,27310,0.86648,0.56176,1.06724,0.94062,0.86991,0.92596,0.7353,0.7406,0.41959,1.00478,0.008812,0.008812,0.008812
8,30591.7,0.84079,0.53822,1.05557,0.90523,0.92289,0.9271,0.74466,0.75265,0.41124,1.00977,0.008614,0.008614,0.008614
9,34574.1,0.82868,0.52462,1.04721,0.93777,0.91781,0.92937,0.74698,0.742,0.4027,1.0044,0.008416,0.008416,0.008416
10,38563.5,0.81896,0.51397,1.043,0.93749,0.92268,0.93009,0.74497,0.72875,0.39755,0.99931,0.008218,0.008218,0.008218
11,42131.2,0.80772,0.50351,1.03666,0.94299,0.92362,0.93239,0.74994,0.73212,0.38354,0.99515,0.00802,0.00802,0.00802
12,45395.5,0.79681,0.48828,1.02872,0.94116,0.91787,0.93675,0.75319,0.73452,0.38247,0.9954,0.007822,0.007822,0.007822
13,51387.4,0.78808,0.48017,1.02286,0.93088,0.92504,0.9313,0.75876,0.7215,0.37155,0.98854,0.007624,0.007624,0.007624
14,53493.5,0.77967,0.47504,1.02027,0.94387,0.92284,0.93323,0.75549,0.72048,0.37524,0.98827,0.007426,0.007426,0.007426
15,57693.9,0.7732,0.46758,1.01759,0.93636,0.9281,0.93855,0.76199,0.71005,0.36542,0.98529,0.007228,0.007228,0.007228
16,60865.2,0.76762,0.45787,1.01388,0.93695,0.92661,0.9369,0.7655,0.70877,0.36123,0.98167,0.00703,0.00703,0.00703
17,65296.5,0.76062,0.45091,1.01212,0.94031,0.92642,0.94175,0.77414,0.69862,0.35789,0.97735,0.006832,0.006832,0.006832
18,67656.5,0.75453,0.44709,1.00719,0.94254,0.92394,0.95146,0.78302,0.69417,0.35688,0.97454,0.006634,0.006634,0.006634
19,70502.9,0.7473,0.4406,1.00232,0.93777,0.92691,0.94333,0.77375,0.69478,0.35308,0.97553,0.006436,0.006436,0.006436
20,74465.6,0.74135,0.4341,1.00273,0.94166,0.92681,0.93773,0.77135,0.68836,0.34671,0.97053,0.006238,0.006238,0.006238
21,79117.5,0.73864,0.4312,0.9984,0.93808,0.93007,0.94408,0.77827,0.69286,0.34825,0.97363,0.00604,0.00604,0.00604
22,82694.2,0.73489,0.42793,0.99664,0.94025,0.92762,0.94036,0.77696,0.69089,0.3404,0.97217,0.005842,0.005842,0.005842
23,84711.9,0.72573,0.41905,0.99456,0.93723,0.92245,0.94125,0.77608,0.68201,0.33955,0.96856,0.005644,0.005644,0.005644
24,88072.6,0.72279,0.41933,0.9934,0.94291,0.92434,0.94294,0.78137,0.67986,0.33493,0.96611,0.005446,0.005446,0.005446
25,92350.8,0.71769,0.4123,0.98865,0.93868,0.92717,0.94115,0.78017,0.68145,0.3331,0.96564,0.005248,0.005248,0.005248
26,98507.1,0.71411,0.40612,0.98686,0.93874,0.92564,0.94163,0.78248,0.67663,0.32842,0.96391,0.00505,0.00505,0.00505
27,103397,0.70903,0.40359,0.98289,0.94199,0.92313,0.94177,0.78335,0.6754,0.33448,0.96382,0.004852,0.004852,0.004852
28,106546,0.70499,0.39676,0.98372,0.94175,0.9201,0.9479,0.78895,0.67374,0.32766,0.9619,0.004654,0.004654,0.004654
29,110650,0.705,0.39964,0.98495,0.94567,0.92449,0.94904,0.78828,0.67793,0.32729,0.96295,0.004456,0.004456,0.004456
30,112187,0.69806,0.39116,0.98017,0.94473,0.92637,0.94384,0.79015,0.6725,0.32369,0.96009,0.004258,0.004258,0.004258
31,114634,0.69146,0.38829,0.97604,0.94511,0.9275,0.94427,0.78914,0.66596,0.32621,0.95736,0.00406,0.00406,0.00406
32,117439,0.68929,0.38422,0.9773,0.94035,0.92795,0.94617,0.78973,0.66683,0.32263,0.95669,0.003862,0.003862,0.003862
33,121197,0.68222,0.37757,0.9729,0.93949,0.92797,0.94454,0.79264,0.66432,0.32141,0.95553,0.003664,0.003664,0.003664
34,124187,0.68146,0.37607,0.97208,0.94362,0.92542,0.94496,0.79343,0.66541,0.31696,0.95641,0.003466,0.003466,0.003466
35,126989,0.67495,0.37274,0.97088,0.93966,0.93238,0.94625,0.79288,0.66292,0.3159,0.95571,0.003268,0.003268,0.003268
