epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,129558,0.67056,0.3694,0.96606,0.94514,0.92399,0.94592,0.79375,0.66199,0.31723,0.95532,0.00307,0.00307,0.00307
37,134217,0.66837,0.36563,0.96738,0.93772,0.93096,0.94466,0.79354,0.65985,0.31796,0.95357,0.002872,0.002872,0.002872
38,136652,0.6626,0.36145,0.96669,0.93972,0.93018,0.94605,0.7942,0.65825,0.3143,0.95242,0.002674,0.002674,0.002674
39,139899,0.66014,0.35691,0.96084,0.94152,0.93186,0.94622,0.79619,0.657,0.31382,0.95158,0.002476,0.002476,0.002476
40,143088,0.65442,0.35114,0.96087,0.94847,0.92445,0.94725,0.79597,0.65681,0.31265,0.95158,0.002278,0.002278,0.002278
41,147069,0.65183,0.30861,0.98348,0.93839,0.92942,0.94677,0.79892,0.65448,0.31353,0.9498,0.00208,0.00208,0.00208
42,151956,0.64499,0.30469,0.97719,0.93814,0.93343,0.94654,0.80099,0.65026,0.30848,0.94864,0.001882,0.001882,0.001882
43,154281,0.63899,0.29893,0.97863,0.93987,0.93313,0.94572,0.80341,0.64883,0.30696,0.94744,0.001684,0.001684,0.001684
44,158487,0.63255,0.2948,0.97345,0.93927,0.93327,0.94651,0.80359,0.64715,0.30631,0.94692,0.001486,0.001486,0.001486
45,162270,0.62551,0.2909,0.96992,0.94217,0.92872,0.94643,0.80462,0.64634,0.30716,0.94644,0.001288,0.001288,0.001288
46,165884,0.62168,0.28837,0.96637,0.94402,0.92702,0.94772,0.80612,0.64593,0.30725,0.94632,0.00109,0.00109,0.00109
47,167917,0.61403,0.28357,0.96208,0.94136,0.93082,0.94771,0.80565,0.64547,0.30758,0.94572,0.000892,0.000892,0.000892
48,170527,0.60905,0.27977,0.95923,0.94296,0.93086,0.94793,0.80669,0.64529,0.30893,0.94556,0.000694,0.000694,0.000694
49,175466,0.60439,0.27505,0.95628,0.94011,0.9334,0.94807,0.8068,0.64544,0.30897,0.9457,0.000496,0.000496,0.000496
50,178127,0.59871,0.27218,0.9535,0.94249,0.93248,0.9488,0.80716,0.64461,0.30924,0.9454,0.000298,0.000298,0.000298
