epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.825,1.10048,1.2761,1.23619,0.89886,0.84183,0.88138,0.6685,0.87794,0.53305,1.06471,0.00332992,0.00332992,0.00332992
2,923.245,0.93305,0.6648,1.10019,0.94273,0.85156,0.89452,0.69253,0.83231,0.50319,1.05851,0.00653132,0.00653132,0.00653132
3,1370.11,0.9522,0.67023,1.10977,0.86252,0.85519,0.86072,0.66874,0.81821,0.51291,1.05403,0.00960072,0.00960072,0.00960072
4,1816.79,0.9569,0.66979,1.11461,0.93341,0.87244,0.88063,0.67785,0.83038,0.46299,1.04294,0.009406,0.009406,0.009406
5,2262.07,0.92033,0.62562,1.0931,0.91532,0.86546,0.88308,0.699,0.77756,0.46517,1.03414,0.009208,0.009208,0.009208
6,2708.81,0.89413,0.5928,1.07846,0.93593,0.91764,0.92191,0.72875,0.76812,0.43647,1.0251,0.00901,0.00901,0.00901
7,3163.36,0.87579,0.572,1.06915,0.9313,0.90975,0.93093,0.73349,0.75139,0.43391,1.01184,0.008812,0.008812,0.008812
8,3618.37,0.85313,0.55085,1.05903,0.91879,0.91607,0.92668,0.73916,0.75509,0.41274,1.01253,0.008614,0.008614,0.008614
9,4072.73,0.83866,0.53482,1.05099,0.93599,0.91596,0.92892,0.74157,0.74778,0.42548,1.00684,0.008416,0.008416,0.008416
10,4527.44,0.82845,0.52505,1.04598,0.93385,0.92123,0.93285,0.75007,0.73846,0.4023,1.00464,0.008218,0.008218,0.008218
11,4980.3,0.81998,0.51613,1.04064,0.93549,0.91986,0.93225,0.75139,0.73305,0.39163,0.99949,0.00802,0.00802,0.00802
12,5438.4,0.80723,0.49997,1.032,0.93788,0.92362,0.93496,0.75281,0.72911,0.38546,0.99597,0.007822,0.007822,0.007822
13,5929.17,0.80001,0.49421,1.02742,0.93885,0.92146,0.93137,0.75408,0.73114,0.38566,0.9947,0.007624,0.007624,0.007624
